head,held_out,k,n_calib,n_eval,acc
convex,1,0,0,160,0.3625
convex,1,1,4,160,0.325
convex,1,2,8,160,0.325
convex,1,5,20,160,0.3
convex,1,10,40,160,0.4125
convex,1,20,80,160,0.4375
convex,1,30,120,160,0.3875
convex,2,0,0,160,0.225
convex,2,1,4,160,0.225
convex,2,2,8,160,0.24375
convex,2,5,20,160,0.2125
convex,2,10,40,160,0.21875
convex,2,20,80,160,0.2625
convex,2,30,120,160,0.3125
convex,3,0,0,160,0.375
convex,3,1,4,160,0.41875
convex,3,2,8,160,0.375
convex,3,5,20,160,0.40625
convex,3,10,40,160,0.41875
convex,3,20,80,160,0.4125
convex,3,30,120,160,0.49375
convex,4,0,0,160,0.3875
convex,4,1,4,160,0.36875
convex,4,2,8,160,0.36875
convex,4,5,20,160,0.33125
convex,4,10,40,160,0.33125
convex,4,20,80,160,0.3875
convex,4,30,120,160,0.35625
convex,5,0,0,160,0.3
convex,5,1,4,160,0.3
convex,5,2,8,160,0.3
convex,5,5,20,160,0.31875
convex,5,10,40,160,0.33125
convex,5,20,80,160,0.3375
convex,5,30,120,160,0.375
convex,6,0,0,160,0.24375
convex,6,1,4,160,0.26875
convex,6,2,8,160,0.30625
convex,6,5,20,160,0.31875
convex,6,10,40,160,0.3375
convex,6,20,80,160,0.33125
convex,6,30,120,160,0.29375
convex,7,0,0,160,0.3375
convex,7,1,4,160,0.30625
convex,7,2,8,160,0.31875
convex,7,5,20,160,0.33125
convex,7,10,40,160,0.25625
convex,7,20,80,160,0.3125
convex,7,30,120,160,0.29375
convex,8,0,0,160,0.4125
convex,8,1,4,160,0.425
convex,8,2,8,160,0.39375
convex,8,5,20,160,0.41875
convex,8,10,40,160,0.55625
convex,8,20,80,160,0.5125
convex,8,30,120,160,0.4625
convex,9,0,0,160,0.36875
convex,9,1,4,160,0.43125
convex,9,2,8,160,0.38125
convex,9,5,20,160,0.40625
convex,9,10,40,160,0.46875
convex,9,20,80,160,0.5
convex,9,30,120,160,0.48125
