held_out,k,n_calib,n_eval,acc,tag,calib_repeat,target_mass
2,0,0,90,0.5777777777777777,src(K=0),0,0.0
2,1,4,86,0.6046511627906976,"anchored,r=1163",1163,0.34998495335540175
2,2,8,82,0.5975609756097561,"anchored,r=582",582,0.35018050541516244
2,5,20,70,0.5428571428571428,"anchored,r=233",233,0.35037593984962406
2,10,40,50,0.5,"anchored,r=116",116,0.3493975903614458
2,20,80,10,0.7,"anchored,r=58",58,0.3493975903614458
5,0,0,90,0.36666666666666664,src(K=0),0,0.0
5,1,4,86,0.38372093023255816,"anchored,r=1163",1163,0.34998495335540175
5,2,8,82,0.34146341463414637,"anchored,r=582",582,0.35018050541516244
5,5,20,70,0.38571428571428573,"anchored,r=233",233,0.35037593984962406
5,10,40,50,0.4,"anchored,r=116",116,0.3493975903614458
5,20,80,10,0.5,"anchored,r=58",58,0.3493975903614458
8,0,0,90,0.36666666666666664,src(K=0),0,0.0
8,1,4,86,0.37209302325581395,"anchored,r=1163",1163,0.34998495335540175
8,2,8,82,0.4268292682926829,"anchored,r=582",582,0.35018050541516244
8,5,20,70,0.44285714285714284,"anchored,r=233",233,0.35037593984962406
8,10,40,50,0.46,"anchored,r=116",116,0.3493975903614458
8,20,80,10,0.6,"anchored,r=58",58,0.3493975903614458
27,0,0,90,0.3333333333333333,src(K=0),0,0.0
27,1,4,86,0.4186046511627907,"anchored,r=1163",1163,0.34998495335540175
27,2,8,82,0.4268292682926829,"anchored,r=582",582,0.35018050541516244
27,5,20,70,0.5714285714285714,"anchored,r=233",233,0.35037593984962406
27,10,40,50,0.48,"anchored,r=116",116,0.3493975903614458
27,20,80,10,0.7,"anchored,r=58",58,0.3493975903614458
32,0,0,90,0.5222222222222223,src(K=0),0,0.0
32,1,4,86,0.5581395348837209,"anchored,r=1163",1163,0.34998495335540175
32,2,8,82,0.5609756097560976,"anchored,r=582",582,0.35018050541516244
32,5,20,70,0.6428571428571429,"anchored,r=233",233,0.35037593984962406
32,10,40,50,0.56,"anchored,r=116",116,0.3493975903614458
32,20,80,10,0.7,"anchored,r=58",58,0.3493975903614458
51,0,0,90,0.4111111111111111,src(K=0),0,0.0
51,1,4,86,0.4069767441860465,"anchored,r=1163",1163,0.34998495335540175
51,2,8,82,0.4146341463414634,"anchored,r=582",582,0.35018050541516244
51,5,20,70,0.5428571428571428,"anchored,r=233",233,0.35037593984962406
51,10,40,50,0.4,"anchored,r=116",116,0.3493975903614458
51,20,80,10,0.4,"anchored,r=58",58,0.3493975903614458
63,0,0,90,0.34444444444444444,src(K=0),0,0.0
63,1,4,86,0.36046511627906974,"anchored,r=1163",1163,0.34998495335540175
63,2,8,82,0.4024390243902439,"anchored,r=582",582,0.35018050541516244
63,5,20,70,0.4142857142857143,"anchored,r=233",233,0.35037593984962406
63,10,40,50,0.4,"anchored,r=116",116,0.3493975903614458
63,20,80,10,1.0,"anchored,r=58",58,0.3493975903614458
83,0,0,90,0.3333333333333333,src(K=0),0,0.0
83,1,4,86,0.38372093023255816,"anchored,r=1163",1163,0.34998495335540175
83,2,8,82,0.36585365853658536,"anchored,r=582",582,0.35018050541516244
83,5,20,70,0.38571428571428573,"anchored,r=233",233,0.35037593984962406
83,10,40,50,0.24,"anchored,r=116",116,0.3493975903614458
83,20,80,10,0.4,"anchored,r=58",58,0.3493975903614458
